Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.005      0.704      3.952      6.048      5.819      0.596      0.023      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.030      0.375      3.008      5.898      5.329      1.511      0.483      0.000      0.000     8.9
  4  1982      0.000      0.000      0.000      0.063      1.501      4.677      6.160      5.528      0.714      0.058      0.000      0.000     9.0
  4  1983      0.000      0.000      0.000      0.046      0.860      4.026      5.965      4.635      0.676      0.015      0.000      0.000     8.9
  4  1984      0.000      0.000      0.000      0.000      0.197      2.305      5.236      4.561      0.687      0.010      0.000      0.000     9.0
  4  1985      0.000      0.000      0.000      0.003      0.135      3.589      6.126      5.069      1.185      0.033      0.000      0.000     9.1
  4  1986      0.000      0.000      0.000      0.008      0.397      3.523      6.380      5.877      0.769      0.069      0.000      0.000     9.0
  4  1987      0.000      0.000      0.000      0.024      0.835      4.183      7.137      6.078      1.162      0.030      0.000      0.000     9.0
  4  1988      0.000      0.000      0.000      0.003      0.710      3.941      6.819      6.130      2.166      0.023      0.000      0.000     8.9
  4  1989      0.000      0.000      0.000      0.036      2.148      4.916      9.708      8.154      1.809      0.220      0.000      0.000     8.9
  4  1990      0.000      0.000      0.000      0.097      2.645      7.042     10.420      7.092      2.234      0.113      0.000      0.000     8.6
  4  1991      0.000      0.000      0.000      0.077      1.299      3.913      7.272      8.075      2.012      0.018      0.000      0.000     8.3
  4  1992      0.000      0.000      0.000      0.024      1.413      4.216      6.583      6.339      1.506      0.023      0.000      0.000     8.2
  4  1993      0.000      0.000      0.000      0.030      1.402      4.010      6.911      5.211      1.072      0.065      0.000      0.000     8.1
  4  1994      0.000      0.000      0.000      0.327      1.428      4.156      7.250      8.027      1.350      0.013      0.000      0.000     8.0
  4  1995      0.000      0.000      0.000      0.010      2.122      4.122      7.104      6.687      0.907      0.014      0.000      0.000     7.8
  4  1996      0.000      0.000      0.000      0.002      0.407      4.218      6.604      6.122      0.940      0.064      0.000      0.000     7.7
  4  1997      0.000      0.000      0.000      0.050      1.738      4.671      7.651      7.333      1.866      0.055      0.000      0.000     7.6
  4  1998      0.000      0.000      0.000      0.034      1.171      4.615      7.223      5.907      1.937      0.093      0.000      0.000     7.3
  4  1999      0.000      0.000      0.000      0.028      1.184      4.236      6.916      6.364      1.078      0.143      0.000      0.000     7.3
  4  2000      0.000      0.000      0.000      0.107      1.609      4.438      6.661      6.147      1.476      0.150      0.000      0.000     7.1
  4  2001      0.000      0.000      0.000      0.025      0.707      4.458      6.181      4.502      2.007      0.056      0.000      0.000     6.9
  4  2002      0.000      0.000      0.000      0.190      0.871      3.929      6.787      5.681      1.422      0.043      0.000      0.000     7.0
  4  2003      0.000      0.000      0.000      0.017      0.642      3.922      7.409      6.868      2.250      0.045      0.000      0.000     6.9
  4  2004      0.000      0.000      0.000      0.057      1.289      4.801      6.635      5.307      0.591      0.201      0.000      0.000     6.8
  4  2005      0.000      0.000      0.000      0.129      1.587      4.900      7.257      7.847      0.841      0.049      0.000      0.000     6.8
  4  2006      0.000      0.000      0.000      0.139      2.978      4.922      6.758      5.869      1.300      0.032      0.000      0.000     6.4
  4  2007      0.000      0.000      0.000      0.030      0.271      2.855      6.315      6.010      1.331      0.026      0.000      0.000     6.2
  4  2008      0.000      0.000      0.000      0.036      1.102      4.594      6.354      4.718      1.090      0.025      0.000      0.000     6.3
  4  2009      0.000      0.000      0.000      0.110      0.565      4.385      6.939      5.873      1.675      0.008      0.000      0.000     6.1
  4  2010      0.000      0.000      0.000      0.025      0.845      4.740      7.115      5.680      1.994      0.092      0.000      0.000     6.1
  4  2011      0.000      0.000      0.000      0.178      0.811      3.311      6.910      5.600      1.371      0.092      0.000      0.000     5.9
  4  2012      0.000      0.000      0.000      0.135      1.257      5.338      7.282      5.501      1.436      0.179      0.000      0.000     6.0
  4  2013      0.000      0.000      0.000      0.043      1.839      4.687      7.118      5.528      0.826      0.034      0.000      0.000     5.8
  4  2014      0.000      0.000      0.001      0.185      1.974      4.901      6.579      5.516      1.626      0.136      0.000      0.000     5.7
  4  2015      0.000      0.000      0.000      0.050      1.905      5.063      6.413      5.110      1.416      0.190      0.000      0.000     5.4
  4  2016      0.000      0.000      0.000      0.064      0.369      3.714      6.771      4.694      1.296      0.009      0.000      0.000     5.3
  4  2017      0.000      0.000      0.000      0.024      1.087      4.042      7.047      4.780      1.149      0.079      0.000      0.000     5.4
  4  2018      0.000      0.000      0.000      0.097      2.061      4.847      6.607      4.457      1.388      0.043      0.000      0.000     5.4
  4  2019      0.000      0.000      0.000      0.139      1.877      4.830      6.070      6.167      1.462      0.011      0.000      0.000     5.3
  4  2020      0.000      0.000      0.000      0.065      0.268      3.046      6.561      5.111      1.053      0.013      0.000      0.000     5.0
  4  2021      0.000      0.000      0.000      0.036      0.961      4.632      7.810      5.229      2.024      0.080      0.000      0.000     5.2
  4  2022      0.000      0.000      0.000      0.147      0.896      4.792      7.406      4.906      2.427      0.131      0.000      0.000     5.0
  4  2023      0.000      0.000      0.000      0.011      1.306      4.718      7.515      5.792      0.835      0.140      0.000      0.000     5.0
  4  2024      0.000      0.000      0.000      0.027      1.765      6.061      6.933      6.675      1.732      0.228      0.000      0.000     5.0
  4  2025      0.000      0.000      0.000      0.293      0.961      4.257      7.735      4.109      2.277      0.046      0.000      0.000     4.6
  4  2026      0.000      0.000      0.000      0.076      0.700      4.424      6.156      5.154      1.614      0.054      0.000      0.000     4.7
  4  2027      0.000      0.000      0.000      0.072      1.778      4.730      7.946      4.640      1.866      0.035      0.000      0.000     4.6
  4  2028      0.000      0.000      0.000      0.051      1.509      4.611      6.658      4.491      0.596      0.041      0.000      0.000     4.5
  4  2029      0.000      0.000      0.000      0.066      0.664      4.161      8.556      5.049      0.719      0.012      0.000      0.000     4.5
  4  2030      0.000      0.000      0.000      0.038      0.553      4.705      8.020      4.868      1.847      0.022      0.000      0.000     4.5
  4  2031      0.000      0.000      0.000      0.159      1.433      4.419      6.888      5.359      1.128      0.047      0.000      0.000     4.4
  4  2032      0.000      0.000      0.000      0.096      1.596      5.084      6.877      4.775      1.478      0.050      0.000      0.000     4.5
  4  2033      0.000      0.000      0.000      0.238      2.735      5.715      6.489      4.871      0.675      0.057      0.000      0.000     4.3
  4  2034      0.000      0.000      0.000      0.048      0.790      3.912      7.154      5.509      1.209      0.122      0.000      0.000     4.2
  4  2035      0.000      0.000      0.000      0.193      1.546      4.385      6.604      4.435      2.364      0.081      0.003      0.000     4.2
  4  2036      0.000      0.000      0.000      0.172      2.485      4.647      8.092      4.784      1.577      0.078      0.000      0.000     4.0
  4  2037      0.000      0.000      0.000      0.037      1.384      4.787      6.929      3.979      1.699      0.092      0.000      0.000     4.0
  4  2038      0.000      0.000      0.000      0.114      1.313      4.680      6.072      4.638      1.474      0.072      0.000      0.000     3.9
  4  2039      0.000      0.000      0.000      0.025      1.914      6.270      7.209      4.861      2.249      0.185      0.000      0.000     3.9
  4  2040      0.000      0.000      0.001      0.340      2.501      5.143      6.162      4.351      1.632      0.057      0.000      0.000     3.8
  4  2041      0.000      0.000      0.000      0.102      2.384      5.137      6.452      4.836      2.005      0.026      0.000      0.000     3.6
  4  2042      0.000      0.000      0.000      0.148      2.287      5.720      6.455      4.456      1.972      0.113      0.000      0.000     3.6
  4  2043      0.000      0.000      0.000      0.235      1.766      5.478      6.614      4.788      2.156      0.118      0.000      0.000     3.5
  4  2044      0.000      0.000      0.000      0.271      2.868      6.238      6.572      4.760      1.026      0.098      0.000      0.000     3.4
  4  2045      0.000      0.000      0.000      0.253      2.231      5.311      6.114      4.483      2.533      0.133      0.000      0.000     3.2
  4  2046      0.000      0.000      0.000      0.237      0.785      5.053      7.107      4.524      1.811      0.160      0.000      0.000     3.1
  4  2047      0.000      0.000      0.000      0.363      2.625      6.963      5.650      5.296      1.880      0.102      0.000      0.000     3.0
  4  2048      0.000      0.000      0.000      0.418      3.171      6.347      5.734      4.975      1.692      0.047      0.000      0.000     2.8
  4  2049      0.000      0.000      0.000      0.261      1.781      6.571      6.720      4.356      1.314      0.050      0.000      0.000     2.7
  4  2050      0.000      0.000      0.000      0.108      1.230      6.134      6.763      4.741      2.810      0.094      0.000      0.000     2.6
  4  2051      0.000      0.000      0.000      0.038      1.749      6.091      5.841      5.111      1.856      0.026      0.000      0.000     2.5
  4  2052      0.000      0.000      0.000      0.185      1.647      6.073      7.599      5.972      0.679      0.078      0.000      0.000     2.3
  4  2053      0.000      0.000      0.002      0.544      2.822      5.133      4.654      5.089      1.830      0.092      0.000      0.000     2.3
  4  2054      0.000      0.000      0.000      0.178      1.528      4.859      8.307      3.921      2.491      0.092      0.000      0.000     2.1
  4  2055      0.000      0.000      0.000      0.276      3.205      6.271      6.802      4.712      1.880      0.106      0.000      0.000     2.0
  4  2056      0.000      0.000      0.000      0.172      2.188      6.384      6.136      4.083      1.086      0.084      0.000      0.000     1.9
  4  2057      0.000      0.000      0.000      0.109      2.720      6.675      7.121      4.110      1.052      0.043      0.000      0.000     1.7
  4  2058      0.000      0.000      0.001      0.106      3.883      5.967      5.684      3.562      1.602      0.104      0.000      0.000     1.6
  4  2059      0.000      0.000      0.000      0.251      2.732      7.256      6.314      3.700      0.897      0.039      0.000      0.000     1.5
  4  2060      0.000      0.000      0.000      0.200      2.681      6.188      5.371      3.228      1.705      0.122      0.000      0.000     1.3
  4  2061      0.000      0.000      0.000      0.113      1.574      5.122      5.986      4.911      0.806      0.148      0.000      0.000     1.2
