Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.133      1.321      3.251      5.208      3.325      1.410      0.060      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.103      0.470      2.857      4.173      3.431      0.473      0.001      0.000      0.000     8.8
  4  1982      0.000      0.000      0.000      0.004      0.419      1.835      4.940      4.258      0.440      0.003      0.000      0.000     8.8
  4  1983      0.000      0.000      0.000      0.002      0.041      2.756      3.950      3.599      0.164      0.000      0.000      0.000     8.7
  4  1984      0.000      0.000      0.000      0.001      0.085      2.755      4.012      3.673      1.387      0.036      0.000      0.000     8.8
  4  1985      0.000      0.000      0.000      0.049      1.850      2.152      4.759      5.445      0.916      0.000      0.000      0.000     8.7
  4  1986      0.000      0.000      0.000      0.008      0.326      3.498      6.492      4.692      0.657      0.032      0.000      0.000     8.5
  4  1987      0.000      0.000      0.000      0.032      0.398      2.534      5.188      3.397      0.915      0.045      0.000      0.000     8.3
  4  1988      0.000      0.000      0.000      0.044      0.701      1.885      4.441      3.226      0.415      0.001      0.000      0.000     8.3
  4  1989      0.000      0.000      0.000      0.010      0.926      1.836      5.064      4.356      0.980      0.004      0.000      0.000     8.3
  4  1990      0.000      0.000      0.000      0.007      1.325      3.545      5.558      4.748      0.715      0.013      0.000      0.000     8.1
  4  1991      0.000      0.000      0.000      0.065      1.032      2.678      4.147      3.974      0.785      0.003      0.000      0.000     8.0
  4  1992      0.000      0.000      0.000      0.003      0.179      1.307      4.124      3.172      0.874      0.072      0.000      0.000     8.0
  4  1993      0.000      0.000      0.000      0.021      0.176      3.414      4.091      3.913      0.794      0.004      0.000      0.000     8.0
  4  1994      0.000      0.000      0.000      0.017      0.527      3.232      4.111      3.476      0.573      0.083      0.000      0.000     8.0
  4  1995      0.000      0.000      0.000      0.020      0.758      4.531      5.258      3.449      0.950      0.019      0.000      0.000     7.9
  4  1996      0.000      0.000      0.000      0.043      0.234      2.101      4.502      2.654      0.465      0.003      0.000      0.000     7.8
  4  1997      0.000      0.000      0.000      0.002      0.118      1.656      4.709      3.546      1.022      0.049      0.000      0.000     7.9
  4  1998      0.000      0.000      0.000      0.021      1.034      2.400      5.088      5.707      1.038      0.009      0.000      0.000     7.8
  4  1999      0.000      0.000      0.000      0.020      0.860      3.888      5.677      4.058      0.511      0.003      0.000      0.000     7.7
  4  2000      0.000      0.000      0.000      0.075      0.844      3.280      6.757      5.472      1.205      0.008      0.000      0.000     7.6
  4  2001      0.000      0.000      0.000      0.035      0.257      2.958      5.764      5.569      0.915      0.028      0.000      0.000     7.3
  4  2002      0.000      0.000      0.000      0.048      0.763      3.303      6.324      6.957      0.912      0.023      0.000      0.000     7.3
  4  2003      0.000      0.000      0.000      0.093      1.415      2.772      4.793      3.934      1.135      0.028      0.000      0.000     7.0
  4  2004      0.000      0.000      0.000      0.286      1.158      3.658      5.673      5.304      0.924      0.179      0.000      0.000     7.0
  4  2005      0.000      0.000      0.000      0.028      1.115      5.285      5.482      4.069      1.429      0.011      0.000      0.000     6.8
  4  2006      0.000      0.000      0.000      0.070      0.467      1.508      5.639      2.024      0.462      0.114      0.000      0.000     6.6
  4  2007      0.000      0.000      0.000      0.184      0.396      4.015      5.213      4.999      0.793      0.028      0.000      0.000     6.7
  4  2008      0.000      0.000      0.000      0.210      0.418      3.593      4.778      3.455      0.898      0.004      0.000      0.000     6.4
  4  2009      0.000      0.000      0.000      0.058      0.617      2.690      4.835      4.274      0.886      0.003      0.000      0.000     6.3
  4  2010      0.000      0.000      0.000      0.030      0.699      4.034      5.026      3.518      0.776      0.003      0.000      0.000     6.2
  4  2011      0.000      0.000      0.000      0.073      0.658      3.389      4.619      3.221      0.942      0.014      0.000      0.000     6.1
  4  2012      0.000      0.000      0.000      0.172      0.655      2.431      4.781      3.206      0.497      0.003      0.000      0.000     5.9
  4  2013      0.000      0.000      0.000      0.041      0.639      3.671      5.107      3.520      1.296      0.003      0.000      0.000     6.0
  4  2014      0.000      0.000      0.000      0.028      0.587      3.550      4.810      3.207      1.249      0.003      0.000      0.000     5.6
  4  2015      0.000      0.000      0.000      0.014      0.454      3.015      6.553      2.801      1.018      0.016      0.000      0.000     5.5
  4  2016      0.000      0.000      0.000      0.034      0.675      4.516      5.424      4.224      1.045      0.002      0.000      0.000     5.4
  4  2017      0.000      0.000      0.000      0.082      0.765      2.929      4.662      1.813      1.018      0.049      0.000      0.000     5.1
  4  2018      0.000      0.000      0.000      0.039      0.759      3.849      5.558      3.079      1.041      0.003      0.000      0.000     5.2
  4  2019      0.000      0.000      0.000      0.152      1.622      2.708      5.213      3.716      0.629      0.123      0.000      0.000     4.9
  4  2020      0.000      0.000      0.000      0.255      0.387      3.135      5.566      2.683      1.086      0.111      0.000      0.000     4.8
  4  2021      0.000      0.000      0.000      0.051      1.261      4.025      4.457      3.148      1.075      0.017      0.000      0.000     4.7
  4  2022      0.000      0.000      0.000      0.096      1.664      4.367      3.777      3.025      1.162      0.064      0.000      0.000     4.5
  4  2023      0.000      0.000      0.000      0.132      1.578      3.731      4.741      4.597      0.678      0.029      0.000      0.000     4.3
  4  2024      0.000      0.000      0.000      0.135      0.612      4.037      5.118      3.407      0.926      0.012      0.000      0.000     4.0
  4  2025      0.000      0.000      0.000      0.051      0.598      4.334      4.930      3.564      0.795      0.024      0.000      0.000     3.9
  4  2026      0.000      0.000      0.000      0.317      1.636      2.996      4.357      3.053      0.691      0.067      0.000      0.000     3.8
  4  2027      0.000      0.000      0.000      0.042      0.899      3.919      5.831      3.171      1.330      0.003      0.000      0.000     3.7
  4  2028      0.000      0.001      0.000      0.065      0.338      2.173      4.779      2.512      0.494      0.000      0.000      0.000     3.6
  4  2029      0.000      0.000      0.000      0.110      0.586      2.960      4.415      2.907      0.907      0.015      0.000      0.000     3.7
  4  2030      0.000      0.000      0.000      0.054      1.466      4.503      3.237      2.940      0.362      0.006      0.000      0.000     3.5
  4  2031      0.000      0.000      0.000      0.051      0.735      3.755      4.645      2.526      0.606      0.002      0.000      0.000     3.3
  4  2032      0.000      0.000      0.000      0.083      1.259      2.574      5.754      2.214      0.459      0.001      0.000      0.000     3.3
  4  2033      0.000      0.000      0.000      0.073      1.792      4.419      3.934      2.784      0.547      0.015      0.000      0.000     3.3
  4  2034      0.000      0.000      0.000      0.052      1.438      3.535      3.174      2.538      0.683      0.024      0.000      0.000     3.1
  4  2035      0.000      0.000      0.000      0.025      1.282      5.082      5.044      2.842      0.489      0.014      0.000      0.000     3.0
  4  2036      0.000      0.000      0.000      0.005      1.060      4.187      3.469      2.369      0.818      0.000      0.000      0.000     3.0
  4  2037      0.000      0.000      0.000      0.117      3.171      2.554      4.072      2.633      0.794      0.000      0.000      0.000     2.8
  4  2038      0.000      0.000      0.000      0.249      1.747      3.741      2.790      2.741      0.429      0.009      0.000      0.000     2.7
  4  2039      0.000      0.000      0.000      0.048      1.653      4.094      4.436      1.832      0.616      0.013      0.000      0.000     2.6
  4  2040      0.000      0.000      0.000      0.311      1.554      3.101      3.994      1.948      1.101      0.031      0.000      0.000     2.5
  4  2041      0.000      0.000      0.000      0.221      1.543      4.342      4.749      2.884      0.665      0.028      0.000      0.000     2.5
  4  2042      0.000      0.000      0.000      0.065      1.594      5.654      5.128      2.584      1.182      0.050      0.000      0.000     2.3
  4  2043      0.000      0.000      0.000      0.070      1.272      4.335      4.130      3.218      0.447      0.008      0.000      0.000     2.2
  4  2044      0.000      0.000      0.000      0.111      0.670      4.902      4.373      2.255      0.518      0.045      0.000      0.000     2.1
  4  2045      0.000      0.000      0.000      0.034      1.372      3.001      5.930      1.689      0.464      0.003      0.000      0.000     2.1
  4  2046      0.000      0.000      0.000      0.083      0.651      3.933      4.974      2.092      0.686      0.019      0.000      0.000     2.0
  4  2047      0.000      0.000      0.000      0.020      0.701      4.643      3.932      2.117      0.563      0.010      0.000      0.000     2.0
  4  2048      0.000      0.000      0.000      0.299      2.084      4.099      3.068      2.173      1.190      0.027      0.000      0.000     1.9
  4  2049      0.000      0.000      0.000      0.097      1.437      5.260      2.944      1.680      0.232      0.000      0.000      0.000     1.8
  4  2050      0.000      0.000      0.000      0.206      0.956      4.484      4.793      1.605      0.608      0.008      0.000      0.000     1.8
  4  2051      0.000      0.000      0.000      0.134      2.543      4.150      3.223      1.943      0.713      0.000      0.000      0.000     1.7
  4  2052      0.000      0.000      0.000      0.119      0.554      3.119      6.080      2.122      0.303      0.017      0.000      0.000     1.6
  4  2053      0.000      0.000      0.000      0.234      1.951      4.359      3.569      1.902      0.680      0.046      0.000      0.000     1.6
  4  2054      0.000      0.000      0.000      0.132      1.142      5.317      3.688      2.393      0.969      0.022      0.000      0.000     1.5
  4  2055      0.000      0.000      0.000      0.072      1.405      4.634      5.466      2.291      0.677      0.030      0.000      0.000     1.5
  4  2056      0.000      0.000      0.000      0.067      1.174      3.313      3.645      3.246      0.665      0.001      0.000      0.000     1.3
  4  2057      0.000      0.000      0.000      0.092      1.209      3.178      3.651      1.866      0.568      0.033      0.000      0.000     1.3
  4  2058      0.000      0.000      0.000      0.315      0.911      3.849      4.018      1.857      0.359      0.006      0.000      0.000     1.3
  4  2059      0.000      0.000      0.000      0.302      1.682      3.814      3.085      2.531      0.391      0.008      0.000      0.000     1.2
  4  2060      0.000      0.000      0.000      0.141      1.655      5.087      3.635      1.911      0.562      0.069      0.000      0.000     1.2
  4  2061      0.000      0.000      0.000      0.246      2.106      3.990      2.926      1.879      0.751      0.002      0.000      0.000     1.1
  4  2062      0.000      0.000      0.000      0.037      1.705      3.724      5.664      1.226      0.461      0.023      0.000      0.000     1.1
  4  2063      0.000      0.007      0.000      0.433      1.464      3.931      4.528      1.662      0.638      0.014      0.000      0.000     1.1
  4  2064      0.000      0.000      0.000      0.060      3.498      3.230      3.270      1.495      0.457      0.003      0.000      0.000     1.0
  4  2065      0.000      0.000      0.000      0.147      0.475      3.264      5.005      1.481      0.606      0.024      0.000      0.000     0.9
  4  2066      0.000      0.000      0.000      0.128      2.876      3.125      2.647      2.400      0.737      0.004      0.000      0.000     0.8
  4  2067      0.000      0.000      0.000      0.038      1.981      5.103      3.214      1.823      0.728      0.021      0.000      0.000     0.7
  4  2068      0.000      0.000      0.000      0.276      1.275      5.589      3.747      0.966      0.426      0.005      0.000      0.000     0.7
  4  2069      0.000      0.000      0.000      0.346      2.932      2.301      2.221      2.265      0.547      0.000      0.000      0.000     0.6
  4  2070      0.000      0.000      0.000      0.297      1.710      4.242      2.780      1.443      0.416      0.001      0.000      0.000     0.6
  4  2071      0.000      0.000      0.000      0.254      1.038      5.685      3.348      1.099      0.744      0.000      0.000      0.000     0.5
  4  2072      0.000      0.000      0.000      0.143      1.352      4.007      6.140      3.155      0.436      0.020      0.000      0.000     0.5
  4  2073      0.000      0.000      0.000      0.331      2.121      4.890      2.297      0.875      0.312      0.001      0.000      0.000     0.5
  4  2074      0.000      0.000      0.000      0.160      0.816      4.414      3.298      1.269      0.596      0.006      0.000      0.000     0.5
  4  2075      0.000      0.000      0.000      0.188      2.530      3.269      3.637      0.599      0.819      0.000      0.000      0.000     0.5
  4  2076      0.000      0.000      0.000      0.070      2.159      4.330      3.463      1.105      0.302      0.001      0.000      0.000     0.4
  4  2077      0.000      0.000      0.000      0.369      1.571      5.375      2.277      1.089      0.258      0.001      0.000      0.000     0.4
  4  2078      0.000      0.000      0.000      0.425      1.408      4.035      3.075      1.099      0.311      0.001      0.000      0.000     0.4
  4  2079      0.000      0.000      0.000      0.287      1.647      4.547      1.982      1.700      0.285      0.000      0.000      0.000     0.4
  4  2080      0.000      0.000      0.000      0.100      1.129      4.362      5.218      1.137      0.528      0.000      0.000      0.000     0.4
  4  2081      0.000      0.000      0.000      0.331      1.802      3.659      3.015      1.269      0.514      0.021      0.000      0.000     0.4
  4  2082      0.000      0.000      0.000      0.082      1.076      4.220      2.568      1.393      0.332      0.000      0.000      0.000     0.4
  4  2083      0.000      0.000      0.000      0.196      1.408      4.051      3.070      1.315      0.655      0.000      0.000      0.000     0.3
  4  2084      0.000      0.000      0.000      0.184      1.579      3.911      2.746      1.552      0.184      0.001      0.000      0.000     0.3
  4  2085      0.000      0.000      0.000      0.044      3.670      3.761      2.679      1.576      0.468      0.001      0.000      0.000     0.3
  4  2086      0.000      0.000      0.000      0.450      1.434      4.555      2.706      2.507      0.415      0.001      0.000      0.000     0.3
  4  2087      0.000      0.000      0.000      0.104      0.725      5.749      3.439      1.044      0.180      0.004      0.000      0.000     0.3
  4  2088      0.000      0.000      0.000      0.190      2.491      4.029      4.059      1.853      0.207      0.000      0.000      0.000     0.3
  4  2089      0.000      0.000      0.000      0.132      1.928      5.058      3.979      1.881      0.570      0.001      0.000      0.000     0.3
  4  2090      0.000      0.000      0.000      0.129      1.953      2.465      5.208      1.530      0.447      0.000      0.000      0.000     0.3
  4  2091      0.000      0.000      0.000      0.096      2.557      3.354      5.054      2.487      0.514      0.000      0.000      0.000     0.3
  4  2092      0.000      0.000      0.000      0.103      1.203      3.705      6.277      1.110      0.550      0.018      0.000      0.000     0.4
  4  2093      0.000      0.000      0.000      0.043      0.909      4.040      5.605      1.947      0.296      0.001      0.000      0.000     0.4
  4  2094      0.000      0.000      0.000      0.075      0.656      3.682      6.495      1.795      0.504      0.008      0.000      0.000     0.4
  4  2095      0.000      0.000      0.000      0.203      1.001      4.194      5.326      1.533      0.299      0.000      0.000      0.000     0.4
  4  2096      0.000      0.000      0.000      0.110      3.479      2.494      1.642      2.454      0.393      0.000      0.000      0.000     0.4
  4  2097      0.000      0.000      0.000      0.035      2.656      4.409      2.495      0.804      0.709      0.005      0.000      0.000     0.4
  4  2098      0.000      0.000      0.000      0.077      2.073      3.572      6.257      1.204      0.617      0.000      0.000      0.000     0.3
  4  2099      0.000      0.000      0.000      0.425      1.563      3.942      3.689      0.961      0.439      0.006      0.000      0.000     0.3
  4  2100      0.000      0.000      0.000      0.067      1.401      4.433      4.453      1.956      0.544      0.000      0.000      0.000     0.3
  5  1980      0.000      0.000      0.000      0.821      8.537     23.438     38.489     25.501     10.188      0.456      0.000      0.000    56.3
  5  1981      0.000      0.000      0.000      0.596      2.453     20.513     30.651     24.952      3.505      0.013      0.000      0.000    55.3
  5  1982      0.000      0.000      0.000      0.016      2.169     13.994     35.149     31.615      3.500      0.075      0.000      0.000    55.5
  5  1983      0.000      0.000      0.000      0.001      0.267     19.616     30.506     28.386      2.031      0.001      0.000      0.000    54.9
  5  1984      0.000      0.000      0.000      0.001      0.470     20.738     29.673     26.819      9.423      0.252      0.000      0.000    55.1
  5  1985      0.000      0.000      0.000      0.230     12.038     15.449     38.544     38.484      6.758      0.002      0.000      0.000    54.3
  5  1986      0.000      0.000      0.000      0.011      1.577     22.754     44.131     31.135      4.719      0.363      0.000      0.000    52.9
  5  1987      0.000      0.000      0.000      0.130      2.056     15.302     37.880     24.375      5.668      0.289      0.000      0.000    52.0
  5  1988      0.000      0.000      0.000      0.202      3.715     13.394     33.004     25.814      4.835      0.015      0.000      0.000    52.0
  5  1989      0.000      0.000      0.000      0.022      5.198     13.380     36.529     34.347      7.957      0.071      0.000      0.000    51.8
  5  1990      0.000      0.000      0.000      0.019      8.139     25.191     42.455     39.441      5.083      0.172      0.000      0.000    51.0
  5  1991      0.000      0.000      0.000      0.357      5.844     18.362     30.025     29.816      5.064      0.019      0.000      0.000    49.8
  5  1992      0.000      0.000      0.000      0.010      0.760      9.933     30.333     22.544      5.459      0.442      0.000      0.000    49.9
  5  1993      0.000      0.000      0.000      0.067      1.294     24.741     31.140     31.939      8.685      0.011      0.000      0.000    50.1
  5  1994      0.000      0.000      0.000      0.048      2.326     21.801     32.121     27.267      6.095      0.637      0.000      0.000    49.4
