Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.002      0.308      2.940      4.123      4.205      0.857      0.026      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.006      0.272      3.381      5.169      4.456      1.164      0.045      0.000      0.000     8.9
  4  1982      0.000      0.000      0.000      0.014      0.085      2.353      4.885      3.526      0.221      0.028      0.000      0.000     8.8
  4  1983      0.000      0.000      0.000      0.047      1.468      2.396      5.200      3.892      0.601      0.028      0.000      0.000     8.9
  4  1984      0.000      0.000      0.000      0.008      0.317      2.180      4.259      4.304      0.731      0.016      0.000      0.000     8.9
  4  1985      0.000      0.000      0.000      0.028      0.606      1.278      4.881      4.520      0.761      0.013      0.000      0.000     8.9
  4  1986      0.000      0.000      0.000      0.054      0.205      2.261      5.304      5.573      1.043      0.006      0.000      0.000     8.9
  4  1987      0.000      0.000      0.000      0.001      0.149      2.984      5.277      3.751      0.605      0.043      0.000      0.000     9.0
  4  1988      0.000      0.000      0.000      0.077      1.070      2.279      5.639      5.297      0.510      0.006      0.000      0.000     8.9
  4  1989      0.000      0.000      0.000      0.014      0.175      2.695      5.872      4.997      0.770      0.013      0.000      0.000     8.9
  4  1990      0.000      0.000      0.000      0.019      0.141      3.188      5.896      5.377      0.740      0.019      0.000      0.000     8.9
  4  1991      0.000      0.000      0.000      0.001      0.187      3.194      5.858      4.897      1.006      0.031      0.000      0.000     8.8
  4  1992      0.000      0.000      0.000      0.024      0.695      2.609      6.166      4.642      0.585      0.041      0.000      0.000     8.7
  4  1993      0.000      0.000      0.000      0.027      0.441      2.580      6.050      5.547      0.873      0.005      0.000      0.000     8.6
  4  1994      0.000      0.000      0.000      0.002      0.822      3.363      5.160      4.609      1.058      0.028      0.000      0.000     8.6
  4  1995      0.000      0.000      0.000      0.005      0.226      2.138      5.693      5.111      0.994      0.006      0.000      0.000     8.5
