Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.123      1.071      4.093      5.902      5.458      1.984      0.020      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.002      0.213      3.167      6.222      4.528      1.791      0.092      0.000      0.000     8.9
  4  1982      0.000      0.000      0.000      0.041      0.940      3.002      6.177      5.792      1.276      0.106      0.000      0.000     8.9
  4  1983      0.000      0.000      0.000      0.012      0.150      2.665      5.681      4.132      0.815      0.015      0.000      0.000     8.7
  4  1984      0.000      0.000      0.000      0.009      0.353      3.758      6.511      6.592      1.605      0.030      0.000      0.000     8.8
  4  1985      0.000      0.000      0.000      0.024      0.181      1.728      4.784      4.535      0.344      0.002      0.000      0.000     8.6
  4  1986      0.000      0.000      0.000      0.004      0.151      2.189      5.408      4.692      1.908      0.057      0.000      0.000     8.8
  4  1987      0.000      0.000      0.000      0.005      0.366      2.884      6.029      4.709      0.617      0.025      0.000      0.000     8.7
  4  1988      0.000      0.000      0.000      0.059      0.621      3.041      7.185      6.552      1.971      0.074      0.000      0.000     8.8
  4  1989      0.000      0.000      0.000      0.099      0.953      3.480      6.318      5.988      1.801      0.041      0.000      0.000     8.5
  4  1990      0.000      0.000      0.000      0.009      0.296      3.665      6.432      6.984      1.939      0.191      0.000      0.000     8.5
  4  1991      0.000      0.000      0.000      0.044      0.962      3.770      7.155      5.474      1.632      0.110      0.000      0.004     8.2
  4  1992      0.000      0.000      0.000      0.014      0.260      2.865      5.342      4.519      0.918      0.043      0.000      0.000     8.0
  4  1993      0.000      0.000      0.000      0.004      0.145      1.842      5.495      4.157      0.585      0.058      0.000      0.000     8.0
  4  1994      0.000      0.000      0.000      0.003      0.230      2.433      5.091      4.838      1.098      0.027      0.000      0.000     8.0
  4  1995      0.000      0.000      0.000      0.006      0.268      2.637      6.110      5.444      2.075      0.040      0.000      0.000     8.1
  4  1996      0.000      0.000      0.000      0.010      0.209      3.789      5.727      4.742      1.229      0.108      0.000      0.000     7.9
  4  1997      0.000      0.000      0.000      0.045      1.374      4.511      7.345      6.458      1.477      0.051      0.000      0.000     8.0
