Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.046      0.395      2.463      6.195      4.083      0.475      0.087      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.054      0.617      2.513      4.812      3.499      0.437      0.009      0.000      0.000     9.0
  4  1982      0.000      0.000      0.000      0.006      0.115      2.052      5.184      4.084      0.984      0.023      0.000      0.000     8.9
  4  1983      0.000      0.000      0.000      0.075      0.488      3.143      6.437      6.497      1.028      0.020      0.000      0.000     8.9
  4  1984      0.000      0.002      0.000      0.009      0.384      1.965      4.045      3.492      0.733      0.001      0.000      0.000     8.5
  4  1985      0.000      0.000      0.000      0.006      1.070      2.807      6.377      4.304      0.725      0.002      0.000      0.000     8.5
  4  1986      0.000      0.000      0.000      0.006      0.338      3.613      5.524      4.119      0.557      0.041      0.000      0.000     8.2
  4  1987      0.000      0.000      0.000      0.043      1.227      3.263      5.662      4.985      0.634      0.020      0.000      0.000     8.2
  4  1988      0.000      0.000      0.000      0.005      0.323      2.565      5.563      3.232      1.019      0.039      0.000      0.001     7.8
  4  1989      0.000      0.000      0.000      0.022      0.615      2.823      5.277      4.129      0.460      0.010      0.000      0.000     7.9
  4  1990      0.000      0.000      0.000      0.058      0.734      2.906      4.208      4.082      0.951      0.032      0.000      0.000     7.7
  4  1991      0.000      0.000      0.000      0.011      0.232      2.161      4.071      3.293      0.649      0.025      0.000      0.000     7.7
  4  1992      0.000      0.000      0.000      0.001      0.216      1.877      4.500      3.401      0.745      0.043      0.000      0.000     7.6
  4  1993      0.000      0.001      0.000      0.002      0.112      2.376      4.935      4.128      0.857      0.040      0.000      0.000     7.6
  4  1994      0.000      0.000      0.000      0.050      0.240      2.050      4.819      3.415      0.799      0.027      0.000      0.000     7.5
  4  1995      0.000      0.000      0.000      0.011      0.205      2.429      4.736      4.823      0.443      0.018      0.000      0.000     7.5
  4  1996      0.000      0.000      0.000      0.045      0.283      2.084      4.566      3.977      0.935      0.088      0.000      0.000     7.4
  4  1997      0.000      0.000      0.000      0.069      0.843      3.572      6.227      4.821      0.405      0.013      0.000      0.000     7.4
  4  1998      0.000      0.000      0.000      0.030      1.003      2.882      6.119      5.601      0.556      0.120      0.000      0.000     7.0
  4  1999      0.000      0.000      0.000      0.027      0.433      3.969      5.051      3.993      1.464      0.011      0.000      0.000     6.7
  4  2000      0.000      0.001      0.000      0.013      0.800      2.220      5.105      3.031      0.500      0.035      0.000      0.000     6.5
  4  2001      0.000      0.000      0.000      0.020      0.519      2.153      5.247      3.141      0.612      0.091      0.000      0.000     6.5
  4  2002      0.000      0.000      0.000      0.003      0.300      2.602      4.528      3.985      0.653      0.026      0.000      0.000     6.4
  4  2003      0.000      0.000      0.000      0.030      0.336      2.695      4.244      3.768      0.625      0.005      0.000      0.000     6.4
  4  2004      0.000      0.000      0.000      0.029      0.486      2.870      5.352      3.266      0.854      0.076      0.000      0.000     6.3
  4  2005      0.000      0.000      0.000      0.006      0.264      2.363      4.843      2.779      0.610      0.043      0.000      0.000     6.2
  4  2006      0.000      0.000      0.000      0.037      0.858      3.132      5.105      3.553      0.405      0.037      0.000      0.000     6.2
  4  2007      0.000      0.000      0.000      0.090      0.780      2.994      4.790      3.250      0.719      0.049      0.000      0.000     5.9
  4  2008      0.000      0.000      0.000      0.001      0.207      2.873      4.840      3.170      0.727      0.035      0.000      0.000     5.9
  4  2009      0.000      0.000      0.000      0.017      0.473      2.362      5.855      2.700      0.182      0.037      0.000      0.000     5.8
  4  2010      0.000      0.000      0.000      0.047      0.442      2.175      5.191      3.703      0.853      0.083      0.000      0.000     5.9
  4  2011      0.000      0.000      0.000      0.006      0.471      2.453      5.172      2.864      0.444      0.096      0.000      0.000     5.7
  4  2012      0.000      0.000      0.000      0.007      0.410      3.011      4.764      3.233      0.408      0.024      0.000      0.000     5.7
  4  2013      0.000      0.001      0.000      0.008      0.231      2.720      4.347      3.377      0.627      0.075      0.000      0.000     5.6
  4  2014      0.000      0.000      0.000      0.097      1.094      2.706      4.614      3.698      0.637      0.020      0.000      0.000     5.5
  4  2015      0.000      0.000      0.000      0.009      0.416      3.214      4.351      3.258      0.566      0.015      0.000      0.000     5.3
  4  2016      0.000      0.000      0.000      0.026      0.536      2.597      4.371      2.046      0.279      0.018      0.000      0.000     5.3
  4  2017      0.000      0.000      0.000      0.002      0.337      2.002      4.690      2.691      0.699      0.090      0.000      0.004     5.4
  4  2018      0.000      0.000      0.000      0.042      0.964      2.323      4.836      3.157      0.474      0.033      0.000      0.000     5.4
  4  2019      0.000      0.000      0.000      0.005      0.447      2.782      4.440      2.739      0.289      0.024      0.000      0.000     5.2
  4  2020      0.000      0.000      0.000      0.064      0.819      3.464      5.226      2.428      0.517      0.028      0.000      0.000     5.2
  4  2021      0.000      0.000      0.000      0.024      0.622      2.268      4.731      2.993      0.923      0.022      0.000      0.000     5.1
  4  2022      0.000      0.000      0.000      0.032      0.296      2.778      5.524      3.129      0.747      0.071      0.000      0.000     5.0
  4  2023      0.000      0.000      0.000      0.002      0.475      2.469      4.347      3.457      0.916      0.076      0.000      0.000     5.0
  4  2024      0.000      0.000      0.000      0.066      0.864      2.275      5.048      3.311      0.730      0.060      0.000      0.000     4.8
  4  2025      0.000      0.000      0.000      0.025      0.734      2.768      5.104      3.138      1.320      0.053      0.000      0.000     4.7
  4  2026      0.000      0.000      0.000      0.087      0.293      2.834      4.468      4.046      0.462      0.004      0.000      0.000     4.6
  4  2027      0.000      0.000      0.000      0.001      0.536      2.968      4.258      3.962      1.212      0.051      0.000      0.000     4.6
  4  2028      0.000      0.000      0.000      0.141      0.891      3.157      4.429      4.236      0.769      0.012      0.000      0.000     4.4
  4  2029      0.000      0.000      0.000      0.007      0.256      2.864      4.931      2.832      0.240      0.022      0.000      0.000     4.2
  4  2030      0.000      0.000      0.000      0.064      0.292      3.315      4.892      2.535      0.504      0.034      0.000      0.000     4.1
