Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.018      0.315      2.586      6.720      6.196      1.094      0.053      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.025      0.324      3.415      5.767      6.241      1.199      0.019      0.000      0.000     8.8
  4  1982      0.000      0.000      0.000      0.142      0.682      3.371      5.032      3.109      0.791      0.010      0.000      0.000     8.7
  4  1983      0.000      0.000      0.000      0.027      0.505      2.285      4.980      3.899      0.647      0.043      0.000      0.000     8.7
  4  1984      0.000      0.000      0.000      0.015      0.095      2.475      4.926      4.601      1.430      0.025      0.000      0.000     8.7
  4  1985      0.000      0.000      0.000      0.011      0.277      2.959      6.160      4.574      0.852      0.007      0.000      0.000     8.6
  4  1986      0.000      0.000      0.000      0.014      0.320      2.529      5.100      4.627      1.246      0.013      0.000      0.000     8.5
  4  1987      0.000      0.000      0.000      0.012      0.062      2.813      5.306      3.545      0.742      0.182      0.000      0.000     8.5
  4  1988      0.000      0.000      0.000      0.061      0.786      1.727      5.017      4.438      1.274      0.003      0.000      0.000     8.5
  4  1989      0.000      0.000      0.000      0.003      0.379      2.142      4.963      2.931      0.772      0.002      0.000      0.000     8.4
  4  1990      0.000      0.000      0.000      0.002      0.193      1.909      5.417      4.228      0.859      0.019      0.000      0.000     8.5
  4  1991      0.000      0.000      0.000      0.003      0.089      2.780      6.107      3.884      0.426      0.010      0.000      0.000     8.4
  4  1992      0.000      0.000      0.000      0.019      0.578      1.858      3.716      3.960      0.623      0.019      0.000      0.000     8.4
  4  1993      0.000      0.000      0.000      0.015      0.788      2.415      5.236      4.312      0.658      0.026      0.000      0.000     8.4
  4  1994      0.000      0.000      0.000      0.011      0.062      2.474      5.128      4.534      1.140      0.030      0.000      0.009     8.3
  4  1995      0.000      0.000      0.000      0.016      0.434      3.060      6.312      4.421      0.741      0.050      0.000      0.000     8.3
  4  1996      0.000      0.000      0.000      0.003      0.124      2.180      5.973      3.904      1.366      0.055      0.000      0.000     8.2
  4  1997      0.000      0.000      0.000      0.014      0.377      3.533      6.129      5.853      1.218      0.037      0.000      0.000     8.2
  4  1998      0.000      0.000      0.000      0.004      0.269      3.493      5.697      5.660      1.551      0.149      0.000      0.000     7.9
  4  1999      0.000      0.000      0.000      0.036      1.142      3.037      6.010      6.570      1.213      0.149      0.000      0.000     7.8
  4  2000      0.000      0.000      0.000      0.048      1.220      3.709      6.810      6.744      1.320      0.052      0.000      0.000     7.5
  4  2001      0.000      0.000      0.000      0.082      0.977      3.520      5.792      5.064      1.124      0.050      0.000      0.000     7.3
  4  2002      0.000      0.000      0.000      0.052      0.722      4.418      5.458      5.419      0.968      0.003      0.000      0.000     7.1
  4  2003      0.000      0.000      0.000      0.010      0.384      3.005      5.309      5.017      1.296      0.126      0.000      0.000     6.9
  4  2004      0.000      0.000      0.000      0.043      0.795      3.378      6.028      5.098      0.757      0.020      0.000      0.000     6.8
  4  2005      0.000      0.000      0.000      0.079      1.093      2.977      5.481      4.308      1.874      0.081      0.000      0.000     6.7
  4  2006      0.000      0.000      0.000      0.061      0.709      3.662      5.371      4.868      1.345      0.060      0.000      0.000     6.5
  4  2007      0.000      0.000      0.000      0.133      0.834      3.326      4.859      3.558      1.320      0.007      0.000      0.000     6.2
  4  2008      0.000      0.000      0.000      0.243      1.112      2.974      5.634      4.810      1.194      0.038      0.000      0.000     6.3
  4  2009      0.000      0.000      0.000      0.057      0.735      2.879      4.659      4.019      0.903      0.086      0.000      0.000     6.0
