Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.021      1.265      2.592      6.479      5.575      0.831      0.150      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.070      0.453      3.527      6.804      4.249      0.273      0.022      0.000      0.000     8.9
  4  1982      0.000      0.000      0.000      0.141      1.567      4.817      9.860      7.571      0.701      0.138      0.000      0.000     9.0
  4  1983      0.000      0.000      0.000      0.150      2.571      3.623      5.553      3.931      0.388      0.002      0.000      0.000     8.6
  4  1984      0.000      0.000      0.000      0.007      2.175      3.060      5.946      8.720      1.084      0.002      0.000      0.000     8.8
  4  1985      0.000      0.000      0.000      0.005      0.025      3.488      6.026      4.696      0.338      0.000      0.000      0.000     8.5
  4  1986      0.000      0.000      0.000      0.000      0.423      2.951      7.479      5.723      0.946      0.052      0.000      0.000     8.7
  4  1987      0.000      0.000      0.000      0.121      1.868      4.570      6.309      5.725      2.731      0.017      0.000      0.000     8.6
  4  1988      0.000      0.000      0.000      0.001      0.371      3.412      5.322      4.899      1.042      0.174      0.000      0.000     8.5
  4  1989      0.000      0.000      0.000      0.134      2.560      3.872      6.862      7.718      1.082      0.034      0.000      0.000     8.6
  4  1990      0.000      0.000      0.000      0.001      0.304      4.514      6.778      5.050      1.257      0.114      0.000      0.000     8.3
  4  1991      0.000      0.000      0.000      0.088      1.364      3.163      6.934      4.678      1.571      0.111      0.000      0.000     8.3
  4  1992      0.000      0.000      0.000      0.120      0.854      4.025      6.357      5.452      0.808      0.056      0.000      0.000     8.3
  4  1993      0.000      0.000      0.000      0.072      0.449      3.485      6.619      3.999      1.124      0.013      0.000      0.000     8.2
  4  1994      0.000      0.000      0.000      0.169      2.401      5.513      7.346      7.563      1.153      0.061      0.000      0.000     8.3
  4  1995      0.000      0.000      0.000      0.025      0.738      3.889      6.666      4.693      1.986      0.448      0.000      0.000     7.9
  4  1996      0.000      0.000      0.000      0.378      2.461      4.800      7.332      6.948      1.859      0.051      0.000      0.000     7.9
  4  1997      0.000      0.000      0.000      0.009      1.088      4.635      6.736      4.060      0.309      0.008      0.000      0.000     7.4
  4  1998      0.000      0.000      0.000      0.009      0.562      5.280      7.406      8.478      1.622      0.119      0.000      0.000     7.7
  4  1999      0.000      0.000      0.000      0.241      0.877      4.250      6.596      5.570      1.575      0.038      0.000      0.000     7.3
  4  2000      0.000      0.000      0.000      0.014      2.170      5.126      8.614      7.581      1.020      0.056      0.000      0.000     7.4
  4  2001      0.000      0.000      0.000      0.181      2.450      3.748      6.629      6.500      1.560      0.029      0.000      0.000     6.7
  4  2002      0.000      0.000      0.000      0.095      2.353      3.909      7.278      7.286      1.199      0.242      0.000      0.000     6.6
  4  2003      0.000      0.000      0.000      0.097      1.295      4.947      6.258      4.660      0.638      0.040      0.000      0.000     6.1
  4  2004      0.000      0.000      0.000      0.381      1.837      4.476      6.402      5.228      0.565      0.001      0.000      0.000     5.9
  4  2005      0.000      0.000      0.000      0.047      0.599      5.382      6.718      4.846      1.300      0.110      0.000      0.000     5.9
  4  2006      0.000      0.000      0.000      0.006      1.229      5.744      7.695      6.601      1.879      0.011      0.000      0.000     5.8
  4  2007      0.000      0.000      0.000      0.106      0.708      5.436      7.331      5.158      0.998      0.148      0.000      0.000     5.3
  4  2008      0.000      0.000      0.000      0.243      2.024      5.584      5.798      6.440      1.754      0.000      0.000      0.000     5.2
  4  2009      0.000      0.000      0.000      0.021      0.947      5.002      7.185      5.770      0.606      0.000      0.000      0.000     4.8
  4  2010      0.000      0.000      0.000      0.175      2.787      4.970      5.885      5.617      0.844      0.001      0.000      0.000     4.7
  4  2011      0.000      0.000      0.000      0.094      2.928      5.110      6.750      3.821      1.285      0.022      0.000      0.000     4.4
  4  2012      0.000      0.000      0.000      0.334      3.072      3.552      7.234      4.823      0.991      0.066      0.000      0.000     4.3
  4  2013      0.000      0.000      0.000      0.034      2.509      5.335      5.747      3.703      0.872      0.000      0.000      0.000     3.9
  4  2014      0.000      0.000      0.000      0.008      0.785      6.086      6.191      4.795      0.568      0.004      0.000      0.000     3.7
  4  2015      0.000      0.000      0.000      0.089      0.549      5.454      7.043      4.586      0.757      0.028      0.000      0.000     3.5
  4  2016      0.000      0.000      0.000      0.222      1.534      5.850      5.543      3.717      0.574      0.062      0.000      0.000     3.4
  4  2017      0.000      0.000      0.000      0.036      1.692      4.610      7.463      3.265      1.319      0.112      0.000      0.000     3.2
  4  2018      0.000      0.000      0.000      0.167      0.610      4.443      7.138      5.246      0.793      0.029      0.000      0.000     3.2
  4  2019      0.000      0.000      0.000      0.175      1.294      3.909      8.722      3.683      0.540      0.000      0.000      0.000     3.0
  4  2020      0.000      0.000      0.000      0.589      1.816      4.777      5.740      3.515      0.994      0.018      0.000      0.000     3.1
  4  2021      0.000      0.000      0.000      0.111      1.252      4.751      7.031      3.831      0.481      0.004      0.000      0.000     2.7
  4  2022      0.000      0.000      0.000      0.121      0.972      6.331      6.035      3.767      0.738      0.013      0.000      0.000     2.7
  4  2023      0.000      0.000      0.000      0.668      1.181      6.738      6.908      3.585      0.767      0.017      0.000      0.000     2.6
  4  2024      0.000      0.000      0.000      0.089      1.569      6.363      5.257      3.302      1.229      0.041      0.000      0.000     2.5
  4  2025      0.000      0.000      0.000      0.341      3.698      3.602      3.680      2.736      0.733      0.021      0.000      0.000     2.3
  4  2026      0.000      0.000      0.000      0.290      0.734      5.967      5.142      2.778      1.200      0.002      0.000      0.000     1.9
  4  2027      0.000      0.000      0.000      0.223      4.770      5.684      4.928      2.990      0.928      0.078      0.000      0.000     1.8
  4  2028      0.000      0.000      0.000      0.573      3.158      5.118      3.875      3.585      0.841      0.042      0.000      0.000     1.7
  4  2029      0.000      0.000      0.000      0.403      3.422      5.482      2.772      2.129      0.906      0.103      0.000      0.000     1.6
  4  2030      0.000      0.000      0.000      0.111      0.757      4.773      7.959      3.861      0.726      0.006      0.000      0.000     1.4
  4  2031      0.000      0.000      0.000      0.110      2.079      6.393      3.916      1.898      0.445      0.001      0.000      0.000     1.4
  4  2032      0.000      0.000      0.000      0.316      2.174      6.590      4.150      3.215      0.260      0.002      0.000      0.000     1.3
  4  2033      0.000      0.000      0.000      0.125      2.660      5.543      5.315      1.795      0.964      0.010      0.000      0.000     1.2
  4  2034      0.000      0.000      0.000      0.726      3.369      3.215      3.248      2.619      0.707      0.088      0.000      0.000     1.2
  4  2035      0.000      0.000      0.000      0.150      1.900      6.365      3.364      2.001      1.065      0.000      0.000      0.000     1.1
  4  2036      0.000      0.000      0.000      0.005      0.501      6.232      8.205      2.855      0.531      0.156      0.000      0.000     1.0
  4  2037      0.000      0.000      0.000      0.618      2.250      6.424      6.322      2.350      0.819      0.014      0.000      0.000     1.0
