Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.011      0.299      2.362      5.793      4.737      1.509      0.046      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.074      1.520      3.844      6.489      6.765      1.077      0.033      0.000      0.000     9.0
  4  1982      0.000      0.000      0.000      0.017      0.238      1.480      4.765      4.023      1.058      0.005      0.000      0.000     8.7
  4  1983      0.000      0.000      0.000      0.010      0.121      2.872      5.758      2.670      0.536      0.042      0.000      0.000     8.8
  4  1984      0.000      0.000      0.000      0.002      0.068      3.310      5.222      3.766      1.137      0.012      0.000      0.000     8.8
  4  1985      0.000      0.000      0.000      0.035      0.746      2.414      7.371      5.248      0.834      0.104      0.000      0.000     8.7
  4  1986      0.000      0.000      0.000      0.073      0.390      3.327      5.853      4.394      1.669      0.125      0.000      0.000     8.5
  4  1987      0.000      0.000      0.000      0.081      0.277      3.924      6.100      4.785      1.401      0.030      0.000      0.000     8.5
  4  1988      0.000      0.000      0.000      0.161      1.237      3.275      4.942      6.676      0.822      0.080      0.000      0.000     8.3
  4  1989      0.000      0.000      0.000      0.216      0.734      3.181      6.713      7.095      0.821      0.112      0.000      0.000     8.2
  4  1990      0.000      0.000      0.000      0.089      0.724      2.458      5.301      4.814      0.967      0.092      0.000      0.000     8.0
  4  1991      0.000      0.000      0.000      0.000      0.131      3.339      6.451      4.306      1.118      0.051      0.000      0.000     7.9
  4  1992      0.000      0.000      0.000      0.013      0.531      3.356      3.438      2.920      0.846      0.015      0.000      0.000     7.9
  4  1993      0.000      0.000      0.000      0.041      0.400      2.479      5.607      3.213      1.007      0.053      0.000      0.000     8.0
  4  1994      0.000      0.000      0.000      0.044      1.083      2.748      5.895      5.945      0.399      0.004      0.000      0.000     8.0
  4  1995      0.000      0.000      0.000      0.008      0.417      3.592      5.431      4.708      1.123      0.038      0.000      0.000     7.8
  4  1996      0.000      0.000      0.000      0.012      0.591      3.520      5.419      4.414      1.160      0.092      0.000      0.000     7.8
  4  1997      0.000      0.000      0.000      0.085      0.891      2.810      6.452      4.557      1.095      0.023      0.000      0.000     7.7
  4  1998      0.000      0.000      0.000      0.042      0.301      3.226      5.334      5.146      1.594      0.041      0.000      0.000     7.6
