Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.163      1.475      4.247      6.432      4.214      1.813      0.090      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.119      0.435      3.543      5.075      3.909      0.423      0.000      0.000      0.000     8.8
  4  1982      0.000      0.000      0.000      0.002      0.362      2.112      5.415      4.479      0.345      0.000      0.000      0.000     8.8
  4  1983      0.000      0.000      0.000      0.001      0.027      3.284      5.312      4.442      0.170      0.000      0.000      0.000     8.8
  4  1984      0.000      0.000      0.000      0.001      0.103      3.517      5.254      3.858      1.696      0.065      0.000      0.000     8.8
  4  1985      0.000      0.000      0.000      0.041      2.167      2.776      6.018      6.399      0.839      0.000      0.000      0.000     8.6
  4  1986      0.000      0.000      0.000      0.003      0.303      3.922      6.483      5.192      0.581      0.047      0.000      0.000     8.4
  4  1987      0.000      0.000      0.000      0.033      0.377      2.842      6.217      3.686      1.001      0.057      0.000      0.000     8.3
  4  1988      0.000      0.000      0.000      0.029      0.630      2.420      5.807      4.361      0.351      0.000      0.000      0.000     8.2
  4  1989      0.000      0.000      0.000      0.004      0.993      2.189      6.313      5.183      1.064      0.001      0.000      0.000     8.3
  4  1990      0.000      0.000      0.000      0.003      1.507      4.356      7.273      5.746      0.702      0.011      0.000      0.000     8.1
  4  1991      0.000      0.000      0.000      0.082      1.068      3.026      5.166      5.165      0.390      0.000      0.000      0.000     7.9
  4  1992      0.000      0.000      0.000      0.002      0.167      1.444      5.275      3.337      0.629      0.020      0.000      0.000     7.9
  4  1993      0.000      0.000      0.000      0.016      0.203      4.354      4.991      4.619      0.781      0.002      0.000      0.000     7.9
  4  1994      0.000      0.000      0.000      0.013      0.462      3.845      5.077      4.120      0.663      0.151      0.000      0.000     7.8
  4  1995      0.000      0.000      0.000      0.009      0.796      5.589      5.877      4.073      1.065      0.021      0.000      0.000     7.7
  4  1996      0.000      0.000      0.000      0.052      0.263      2.132      5.453      3.888      0.565      0.003      0.000      0.000     7.6
  4  1997      0.000      0.000      0.000      0.001      0.153      1.681      5.663      4.628      1.148      0.073      0.000      0.000     7.7
  4  1998      0.000      0.000      0.000      0.012      1.060      2.980      5.893      6.861      0.987      0.018      0.000      0.000     7.7
  4  1999      0.000      0.000      0.000      0.018      0.802      4.455      6.674      4.965      0.391      0.000      0.000      0.000     7.5
  4  2000      0.000      0.000      0.000      0.035      0.956      3.887      7.693      6.113      1.377      0.010      0.000      0.000     7.4
  4  2001      0.000      0.000      0.000      0.044      0.271      3.780      6.017      6.149      1.044      0.050      0.000      0.000     7.0
  4  2002      0.000      0.000      0.000      0.051      0.732      3.897      6.377      7.259      0.897      0.033      0.000      0.000     7.0
  4  2003      0.000      0.000      0.000      0.113      1.514      3.469      5.152      4.886      1.290      0.038      0.000      0.000     6.6
  4  2004      0.000      0.000      0.000      0.307      1.244      4.248      6.929      6.547      1.119      0.224      0.000      0.000     6.6
  4  2005      0.000      0.000      0.000      0.025      1.178      6.154      6.423      4.561      1.787      0.026      0.000      0.000     6.3
  4  2006      0.000      0.000      0.000      0.053      1.583      3.644      6.500      4.332      1.041      0.045      0.000      0.000     6.1
  4  2007      0.000      0.000      0.000      0.112      0.889      4.692      6.572      6.037      0.490      0.030      0.000      0.000     5.8
  4  2008      0.000      0.000      0.000      0.121      2.137      3.915      5.973      5.364      0.831      0.097      0.000      0.000     5.4
  4  2009      0.000      0.000      0.000      0.276      1.402      5.287      5.774      4.300      0.704      0.030      0.000      0.000     5.1
  4  2010      0.000      0.000      0.000      0.221      1.939      4.661      4.727      4.308      1.176      0.061      0.000      0.000     4.9
  4  2011      0.000      0.000      0.000      0.029      0.506      3.991      6.722      3.002      0.991      0.018      0.000      0.000     4.7
  4  2012      0.000      0.000      0.000      0.138      1.054      3.946      6.206      3.217      0.934      0.074      0.000      0.000     4.7
  4  2013      0.000      0.000      0.000      0.192      0.962      4.776      4.656      3.822      0.866      0.116      0.000      0.000     4.5
  4  2014      0.000      0.000      0.000      0.162      1.012      4.817      4.653      4.388      1.133      0.047      0.000      0.000     4.3
  4  2015      0.000      0.000      0.000      0.048      2.059      4.434      4.759      4.986      1.329      0.036      0.000      0.000     4.0
  4  2016      0.000      0.000      0.000      0.135      1.020      4.425      4.837      3.657      0.371      0.000      0.000      0.000     3.8
  4  2017      0.000      0.000      0.000      0.040      0.479      3.368      4.928      2.660      1.692      0.000      0.000      0.000     3.5
  4  2018      0.000      0.000      0.000      0.140      1.448      4.470      4.337      3.092      0.707      0.001      0.000      0.000     3.4
  4  2019      0.000      0.000      0.000      0.146      2.512      3.453      5.398      2.743      0.912      0.013      0.000      0.000     3.2
  4  2020      0.000      0.000      0.000      0.088      0.539      3.418      5.053      3.398      0.734      0.060      0.000      0.000     3.2
  4  2021      0.000      0.000      0.000      0.018      1.072      4.342      4.950      3.565      0.666      0.017      0.000      0.000     3.1
  4  2022      0.000      0.000      0.000      0.051      1.236      2.922      4.978      2.918      0.278      0.001      0.000      0.000     2.9
  4  2023      0.000      0.000      0.000      0.063      1.167      4.754      5.098      2.480      1.212      0.035      0.000      0.000     2.9
  4  2024      0.000      0.000      0.000      0.014      1.444      5.485      4.293      2.684      0.669      0.001      0.000      0.000     2.8
  4  2025      0.000      0.000      0.000      0.024      0.432      4.051      4.496      2.891      0.979      0.184      0.000      0.000     2.6
  4  2026      0.000      0.000      0.000      0.383      2.449      3.880      3.823      2.988      0.335      0.008      0.000      0.000     2.5
  4  2027      0.000      0.000      0.000      0.022      0.572      3.962      6.206      2.216      0.730      0.009      0.000      0.000     2.1
  4  2028      0.000      0.000      0.000      0.057      2.634      3.729      4.501      2.053      0.477      0.007      0.000      0.000     2.1
  4  2029      0.000      0.000      0.000      0.026      1.226      4.277      6.235      2.131      0.458      0.005      0.000      0.000     2.0
  4  2030      0.000      0.000      0.011      0.708      0.572      4.237      3.386      1.689      0.574      0.000      0.000      0.000     1.9
  4  2031      0.000      0.000      0.000      0.141      0.999      4.242      6.398      3.073      1.082      0.002      0.000      0.000     1.8
  4  2032      0.000      0.000      0.000      0.216      0.970      4.935      4.704      2.370      0.358      0.005      0.000      0.000     1.8
