Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.122      0.732      3.021      6.794      4.166      0.729      0.081      0.003      0.000     9.0
  4  1981      0.000      0.000      0.000      0.168      1.125      3.596      5.788      4.392      0.594      0.024      0.000      0.000     9.0
  4  1982      0.000      0.000      0.000      0.035      0.207      2.997      5.934      4.774      1.009      0.037      0.000      0.000     8.9
  4  1983      0.000      0.000      0.000      0.264      0.803      4.189      7.299      7.671      1.837      0.043      0.000      0.000     8.9
  4  1984      0.000      0.000      0.000      0.044      0.771      2.660      4.579      5.264      1.282      0.007      0.000      0.001     8.4
  4  1985      0.000      0.000      0.000      0.012      1.930      3.874      6.643      5.675      1.253      0.004      0.000      0.000     8.5
  4  1986      0.000      0.000      0.000      0.012      0.683      4.894      6.363      5.180      0.849      0.044      0.000      0.000     8.1
  4  1987      0.000      0.000      0.000      0.106      2.045      3.488      6.079      5.781      1.074      0.037      0.000      0.000     8.0
  4  1988      0.000      0.000      0.000      0.025      0.672      3.468      6.184      3.687      1.057      0.031      0.000      0.007     7.7
  4  1989      0.000      0.000      0.000      0.071      1.024      3.593      6.238      5.340      1.311      0.024      0.000      0.000     7.8
  4  1990      0.000      0.000      0.000      0.177      1.243      3.797      4.593      3.941      1.271      0.050      0.000      0.000     7.5
  4  1991      0.000      0.000      0.000      0.038      0.417      3.026      4.840      4.410      0.751      0.026      0.000      0.000     7.5
  4  1992      0.000      0.000      0.000      0.009      0.385      2.504      5.764      3.694      1.249      0.037      0.000      0.000     7.4
  4  1993      0.000      0.000      0.000      0.007      0.170      3.112      5.896      4.417      0.871      0.055      0.000      0.000     7.5
  4  1994      0.000      0.000      0.000      0.157      0.391      3.170      5.407      3.610      0.863      0.034      0.000      0.000     7.4
  4  1995      0.000      0.000      0.000      0.035      0.370      3.302      5.428      5.083      0.634      0.050      0.000      0.000     7.4
  4  1996      0.000      0.000      0.000      0.124      0.494      2.960      5.478      6.225      1.482      0.141      0.000      0.000     7.3
  4  1997      0.000      0.000      0.000      0.201      1.293      4.200      6.868      5.403      0.585      0.032      0.000      0.000     7.2
  4  1998      0.000      0.000      0.000      0.084      1.809      3.694      6.766      6.732      0.949      0.157      0.000      0.000     6.8
  4  1999      0.000      0.000      0.000      0.094      0.781      5.537      5.913      4.965      1.983      0.022      0.000      0.000     6.5
  4  2000      0.000      0.000      0.000      0.043      1.477      2.954      5.868      3.126      0.856      0.039      0.000      0.000     6.2
  4  2001      0.000      0.000      0.000      0.054      0.957      3.135      6.409      3.831      0.668      0.111      0.000      0.000     6.3
  4  2002      0.000      0.000      0.000      0.009      0.470      3.354      5.138      4.491      0.659      0.055      0.000      0.000     6.1
  4  2003      0.000      0.000      0.000      0.086      0.587      3.954      5.059      4.338      0.875      0.019      0.000      0.000     6.2
  4  2004      0.000      0.000      0.000      0.091      0.786      3.525      5.923      3.635      1.236      0.053      0.000      0.000     5.9
  4  2005      0.000      0.000      0.000      0.018      0.420      3.306      5.625      3.534      1.085      0.055      0.000      0.000     5.9
  4  2006      0.000      0.000      0.000      0.010      0.771      3.157      5.405      3.916      1.008      0.046      0.000      0.007     5.9
  4  2007      0.000      0.000      0.000      0.134      1.572      2.902      5.801      3.275      0.897      0.053      0.000      0.000     5.8
  4  2008      0.000      0.000      0.000      0.151      1.437      3.678      5.264      4.774      1.600      0.074      0.000      0.000     5.7
  4  2009      0.000      0.000      0.000      0.056      0.764      3.612      5.971      3.896      0.473      0.076      0.000      0.000     5.4
  4  2010      0.000      0.000      0.000      0.018      0.617      4.183      5.528      4.016      0.481      0.067      0.000      0.000     5.4
  4  2011      0.000      0.000      0.000      0.005      0.222      3.102      4.783      3.584      0.813      0.046      0.000      0.001     5.2
  4  2012      0.000      0.000      0.000      0.225      0.967      4.030      5.903      3.758      1.389      0.010      0.000      0.000     5.2
  4  2013      0.000      0.000      0.000      0.216      0.412      2.637      5.513      3.956      0.457      0.020      0.000      0.000     4.9
  4  2014      0.000      0.000      0.000      0.061      2.085      2.735      5.049      3.245      0.981      0.113      0.000      0.000     4.9
  4  2015      0.000      0.000      0.000      0.222      1.095      4.552      4.710      3.496      0.531      0.023      0.000      0.000     4.8
  4  2016      0.000      0.000      0.000      0.085      0.874      3.645      5.159      3.888      0.696      0.040      0.000      0.000     4.7
  4  2017      0.000      0.000      0.000      0.132      0.544      4.008      5.832      3.349      1.033      0.034      0.000      0.000     4.5
  4  2018      0.000      0.000      0.000      0.252      0.531      3.419      5.824      4.086      0.310      0.039      0.000      0.000     4.4
  4  2019      0.000      0.000      0.000      0.169      1.279      3.445      4.569      2.631      0.792      0.026      0.000      0.000     4.2
  4  2020      0.000      0.000      0.000      0.026      1.403      3.728      5.333      2.925      0.259      0.048      0.000      0.000     4.0
  4  2021      0.000      0.000      0.000      0.106      1.563      3.088      4.989      2.809      0.824      0.030      0.000      0.000     3.8
  4  2022      0.000      0.000      0.000      0.127      1.595      3.181      5.580      3.437      0.729      0.026      0.000      0.000     3.7
  4  2023      0.000      0.000      0.000      0.002      0.925      4.355      5.073      3.360      1.447      0.035      0.000      0.000     3.6
  4  2024      0.000      0.000      0.000      0.025      0.749      3.848      5.707      3.344      0.390      0.037      0.000      0.001     3.5
  4  2025      0.000      0.000      0.000      0.018      0.974      3.580      5.778      3.414      1.351      0.055      0.000      0.000     3.5
  4  2026      0.000      0.000      0.000      0.003      0.612      3.921      4.347      2.638      0.439      0.029      0.000      0.000     3.5
  4  2027      0.000      0.000      0.000      0.001      0.673      3.339      4.563      3.942      0.457      0.005      0.000      0.000     3.3
  4  2028      0.000      0.000      0.000      0.073      1.176      3.221      5.367      2.393      0.720      0.027      0.000      0.000     3.4
  4  2029      0.000      0.000      0.000      0.014      0.309      3.103      5.362      2.202      0.972      0.006      0.000      0.000     3.3
  4  2030      0.000      0.000      0.000      0.035      0.544      3.382      4.854      2.142      0.335      0.023      0.000      0.000     3.2
  4  2031      0.000      0.000      0.000      0.291      1.383      4.167      4.442      2.325      0.796      0.076      0.000      0.000     3.2
  4  2032      0.000      0.000      0.000      0.247      0.540      3.677      4.719      2.223      0.380      0.012      0.000      0.000     3.2
  4  2033      0.000      0.000      0.000      0.086      0.759      3.488      5.816      2.502      1.012      0.051      0.003      0.001     3.2
  4  2034      0.000      0.000      0.000      0.185      1.333      3.438      4.324      3.081      0.471      0.023      0.000      0.000     3.1
  4  2035      0.000      0.000      0.000      0.046      0.939      3.987      4.623      3.653      0.660      0.039      0.000      0.000     3.1
  4  2036      0.000      0.000      0.000      0.085      1.112      3.241      5.298      2.551      1.160      0.077      0.000      0.001     3.0
  4  2037      0.000      0.000      0.000      0.606      1.452      3.891      4.215      2.593      1.303      0.018      0.000      0.003     2.9
  4  2038      0.000      0.000      0.000      0.152      0.474      3.644      4.990      3.034      1.021      0.037      0.000      0.000     2.8
  4  2039      0.000      0.000      0.000      0.182      0.935      2.799      6.562      2.821      1.203      0.049      0.000      0.011     2.8
  4  2040      0.000      0.000      0.000      0.494      1.822      3.568      4.470      3.480      1.094      0.038      0.000      0.000     2.7
  4  2041      0.000      0.000      0.000      0.122      1.758      3.434      5.728      2.758      1.025      0.059      0.000      0.000     2.6
  4  2042      0.000      0.000      0.000      0.094      1.046      4.348      3.644      2.726      0.754      0.032      0.000      0.000     2.6
  4  2043      0.000      0.000      0.000      0.087      1.651      3.499      2.658      2.716      0.543      0.000      0.000      0.000     2.4
  4  2044      0.000      0.000      0.000      0.114      1.491      3.627      4.469      2.137      0.832      0.070      0.000      0.000     2.4
  4  2045      0.000      0.000      0.000      0.292      1.874      3.190      5.141      3.297      0.763      0.083      0.000      0.001     2.4
  4  2046      0.000      0.000      0.000      0.368      1.908      3.507      3.763      1.927      1.004      0.084      0.000      0.000     2.3
  4  2047      0.000      0.000      0.000      0.417      1.986      2.640      5.006      2.388      0.669      0.135      0.000      0.000     2.2
  4  2048      0.000      0.000      0.000      0.365      1.351      3.594      4.346      2.673      0.665      0.024      0.000      0.000     2.1
  4  2049      0.000      0.000      0.000      0.107      0.267      4.423      5.331      3.069      1.032      0.071      0.044      0.000     2.1
  4  2050      0.000      0.000      0.000      0.277      1.286      2.916      5.442      3.460      0.750      0.038      0.000      0.000     2.1
  4  2051      0.000      0.000      0.000      0.128      1.526      3.478      4.007      2.686      0.405      0.046      0.000      0.000     2.1
  4  2052      0.000      0.000      0.000      0.419      2.505      3.523      4.609      2.297      0.858      0.045      0.000      0.000     2.1
  4  2053      0.000      0.000      0.000      0.062      1.172      2.975      3.920      2.194      0.711      0.043      0.004      0.001     2.0
  4  2054      0.000      0.000      0.000      0.147      1.427      3.073      5.344      2.236      1.140      0.049      0.000      0.001     2.0
  4  2055      0.000      0.000      0.000      0.206      1.145      3.958      4.901      1.973      0.602      0.070      0.000      0.000     1.9
  4  2056      0.000      0.000      0.000      0.030      1.354      3.536      4.790      2.937      0.582      0.096      0.000      0.000     1.9
  4  2057      0.000      0.000      0.000      0.157      0.927      4.034      4.061      3.103      0.552      0.008      0.000      0.000     1.8
  4  2058      0.000      0.000      0.000      0.096      0.909      4.528      4.493      2.976      0.769      0.089      0.000      0.000     1.8
  4  2059      0.000      0.000      0.000      0.252      0.884      3.483      5.277      2.665      0.500      0.051      0.000      0.000     1.7
  4  2060      0.000      0.000      0.000      0.346      1.233      4.197      3.664      2.130      0.679      0.029      0.000      0.008     1.7
  4  2061      0.000      0.000      0.000      0.053      1.102      4.407      6.051      2.175      0.491      0.026      0.000      0.000     1.7
  4  2062      0.000      0.000      0.000      0.254      1.067      3.704      6.404      4.241      1.314      0.073      0.000      0.000     1.7
  4  2063      0.000      0.000      0.000      0.328      1.340      3.854      4.257      1.981      0.865      0.072      0.000      0.000     1.7
  4  2064      0.000      0.000      0.000      0.201      0.830      4.251      5.175      2.958      0.403      0.037      0.000      0.000     1.6
  4  2065      0.000      0.000      0.000      0.198      1.345      3.711      5.506      2.669      0.478      0.015      0.000      0.000     1.6
  4  2066      0.000      0.000      0.000      0.240      1.014      3.964      4.775      2.598      0.695      0.049      0.001      0.000     1.6
  4  2067      0.000      0.000      0.000      0.212      1.310      3.770      4.912      2.293      0.797      0.046      0.000      0.000     1.5
  4  2068      0.000      0.000      0.000      0.435      1.864      4.236      4.731      2.247      0.516      0.101      0.000      0.004     1.5
  4  2069      0.000      0.000      0.000      0.208      1.498      4.556      4.223      2.045      1.242      0.047      0.005      0.000     1.5
  4  2070      0.000      0.000      0.000      0.211      1.330      3.804      5.827      2.170      0.672      0.039      0.000      0.000     1.5
  4  2071      0.000      0.000      0.002      0.229      1.717      3.744      4.795      2.285      0.612      0.045      0.000      0.000     1.4
  4  2072      0.000      0.004      0.000      0.060      2.081      3.938      4.387      1.927      0.423      0.038      0.000      0.000     1.4
  4  2073      0.000      0.000      0.000      0.196      1.084      3.885      5.437      2.381      0.143      0.048      0.000      0.000     1.4
  4  2074      0.000      0.000      0.000      0.012      0.610      4.137      4.791      2.129      0.385      0.024      0.000      0.001     1.4
  4  2075      0.000      0.000      0.000      0.418      2.479      4.125      4.456      2.316      0.306      0.021      0.000      0.000     1.3
  4  2076      0.000      0.000      0.000      0.285      0.982      4.412      3.348      2.530      0.494      0.041      0.000      0.000     1.3
  4  2077      0.000      0.000      0.000      0.155      1.635      4.239      3.591      1.450      0.540      0.034      0.000      0.012     1.2
  4  2078      0.000      0.000      0.000      0.005      0.705      4.600      5.513      1.871      0.786      0.027      0.000      0.000     1.2
  4  2079      0.000      0.000      0.000      0.599      2.104      4.189      6.027      2.927      0.807      0.035      0.002      0.000     1.2
  4  2080      0.000      0.000      0.000      0.307      1.854      3.252      4.033      1.531      0.427      0.023      0.000      0.000     1.1
  4  2081      0.000      0.000      0.000      0.142      1.071      3.519      5.775      3.212      0.899      0.041      0.000      0.000     1.1
  4  2082      0.000      0.000      0.000      0.188      1.081      4.402      4.956      2.434      0.483      0.036      0.000      0.000     1.1
  4  2083      0.000      0.000      0.000      0.163      2.354      4.435      3.159      1.668      0.793      0.049      0.000      0.000     1.1
  4  2084      0.000      0.000      0.000      0.323      1.531      5.095      4.081      3.021      0.396      0.009      0.000      0.000     1.0
  4  2085      0.000      0.000      0.000      0.524      1.711      4.213      2.545      1.872      0.580      0.009      0.000      0.000     1.0
