Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.013      0.327      2.171      6.592      5.288      0.534      0.008      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.021      0.350      3.023      6.520      5.345      0.827      0.024      0.000      0.000     8.9
  4  1982      0.000      0.000      0.000      0.194      0.798      3.004      4.915      2.418      0.244      0.000      0.000      0.000     8.6
  4  1983      0.000      0.000      0.000      0.016      0.508      1.961      4.857      3.148      0.237      0.025      0.000      0.000     8.7
  4  1984      0.000      0.000      0.000      0.011      0.102      1.986      5.028      3.712      0.553      0.001      0.000      0.000     8.7
  4  1985      0.000      0.000      0.000      0.002      0.271      2.488      6.127      4.188      0.581      0.005      0.000      0.000     8.6
  4  1986      0.000      0.000      0.000      0.015      0.349      1.884      4.570      3.846      0.850      0.013      0.000      0.000     8.5
  4  1987      0.000      0.000      0.000      0.014      0.096      2.782      4.699      3.107      0.395      0.058      0.000      0.000     8.5
  4  1988      0.000      0.000      0.000      0.057      0.888      1.418      4.601      3.653      1.004      0.000      0.000      0.000     8.5
  4  1989      0.000      0.000      0.000      0.000      0.418      1.579      4.838      2.461      0.374      0.000      0.000      0.000     8.4
  4  1990      0.000      0.000      0.000      0.000      0.158      1.520      4.820      3.561      0.406      0.003      0.000      0.000     8.5
  4  1991      0.000      0.000      0.000      0.001      0.060      2.027      5.560      3.246      0.175      0.002      0.000      0.000     8.5
  4  1992      0.000      0.000      0.000      0.008      0.666      1.473      3.156      2.888      0.335      0.007      0.000      0.000     8.5
  4  1993      0.000      0.000      0.000      0.014      0.949      2.021      5.024      3.561      0.319      0.003      0.000      0.000     8.6
  4  1994      0.000      0.000      0.000      0.005      0.039      2.279      4.834      3.913      0.671      0.020      0.000      0.000     8.5
  4  1995      0.000      0.000      0.000      0.016      0.480      2.519      6.163      4.067      0.498      0.021      0.000      0.000     8.5
  4  1996      0.000      0.000      0.000      0.003      0.125      1.778      5.834      2.988      0.811      0.041      0.000      0.000     8.3
  4  1997      0.000      0.000      0.000      0.008      0.346      2.947      6.487      5.047      0.705      0.014      0.000      0.000     8.3
  4  1998      0.000      0.000      0.000      0.002      0.280      2.838      5.269      4.410      1.106      0.173      0.000      0.000     8.1
  4  1999      0.000      0.000      0.000      0.030      1.231      2.558      6.334      5.681      0.745      0.112      0.000      0.000     7.9
  4  2000      0.000      0.000      0.000      0.045      1.193      3.564      6.310      6.186      0.666      0.030      0.000      0.000     7.6
  4  2001      0.000      0.000      0.000      0.074      0.972      3.270      5.459      4.531      0.723      0.047      0.000      0.000     7.3
  4  2002      0.000      0.000      0.000      0.045      0.717      3.835      5.175      4.594      0.520      0.000      0.000      0.000     7.1
  4  2003      0.000      0.000      0.000      0.006      0.377      2.756      5.343      4.114      0.690      0.104      0.000      0.000     6.9
  4  2004      0.000      0.000      0.000      0.033      0.837      2.990      5.654      4.364      0.367      0.015      0.000      0.000     6.8
  4  2005      0.000      0.000      0.000      0.085      1.209      2.694      5.850      4.023      1.292      0.044      0.000      0.000     6.7
  4  2006      0.000      0.000      0.000      0.171      1.203      2.305      4.348      3.243      0.348      0.052      0.000      0.000     6.5
  4  2007      0.000      0.000      0.000      0.144      0.797      3.354      5.024      4.391      0.284      0.021      0.000      0.000     6.4
  4  2008      0.000      0.000      0.000      0.019      0.769      3.568      5.091      4.287      0.489      0.050      0.000      0.000     6.2
  4  2009      0.000      0.000      0.000      0.007      0.605      2.418      5.385      3.798      0.319      0.008      0.000      0.000     6.0
  4  2010      0.000      0.000      0.000      0.022      1.399      2.988      4.733      3.775      0.577      0.018      0.000      0.000     6.0
  4  2011      0.000      0.000      0.000      0.167      1.072      2.397      3.965      2.670      0.913      0.000      0.000      0.000     5.8
  4  2012      0.000      0.000      0.000      0.056      0.900      2.552      4.818      2.984      0.895      0.017      0.000      0.000     5.7
  4  2013      0.000      0.000      0.000      0.014      1.128      4.178      4.562      3.813      1.033      0.005      0.000      0.000     5.6
  4  2014      0.000      0.000      0.000      0.064      1.204      2.702      5.057      2.536      0.726      0.000      0.000      0.000     5.4
  4  2015      0.000      0.000      0.000      0.191      1.062      3.763      5.455      4.647      0.228      0.031      0.000      0.000     5.3
  4  2016      0.000      0.000      0.000      0.079      2.093      3.639      5.708      4.097      0.429      0.003      0.000      0.000     5.1
