Evaluated glacier runoff sum according to  GloGEM; mio. m3/mo
ID  Year  1  2  3   4   5   6   7   8   9   10   11   12
  4  1980      0.000      0.000      0.000      0.010      1.064      2.185      5.904      4.961      0.624      0.129      0.000      0.000     9.0
  4  1981      0.000      0.000      0.000      0.034      0.320      2.853      6.101      3.422      0.183      0.013      0.000      0.000     8.9
  4  1982      0.000      0.000      0.000      0.071      1.208      4.719     10.220      6.889      0.510      0.095      0.000      0.000     9.0
  4  1983      0.000      0.000      0.000      0.085      1.981      2.952      4.959      3.098      0.235      0.000      0.000      0.000     8.6
  4  1984      0.000      0.000      0.000      0.001      1.774      2.797      5.459      7.885      0.814      0.003      0.000      0.000     8.8
  4  1985      0.000      0.000      0.000      0.005      0.031      3.340      5.196      4.129      0.263      0.000      0.000      0.000     8.5
  4  1986      0.000      0.000      0.000      0.000      0.440      2.343      6.926      5.335      0.798      0.034      0.000      0.000     8.7
  4  1987      0.000      0.000      0.000      0.065      1.490      4.255      5.773      5.306      2.242      0.011      0.000      0.000     8.7
  4  1988      0.000      0.000      0.000      0.000      0.333      3.058      4.710      4.672      0.905      0.134      0.000      0.000     8.5
  4  1989      0.000      0.000      0.000      0.077      2.070      3.395      6.404      7.259      0.836      0.020      0.000      0.000     8.5
  4  1990      0.000      0.000      0.000      0.000      0.207      4.258      6.136      4.636      0.967      0.080      0.000      0.000     8.3
  4  1991      0.000      0.000      0.000      0.045      1.142      2.545      6.070      4.339      1.265      0.080      0.000      0.000     8.3
  4  1992      0.000      0.000      0.000      0.062      0.630      3.439      5.676      4.782      0.570      0.035      0.000      0.000     8.3
  4  1993      0.000      0.000      0.000      0.037      0.313      2.902      5.873      3.275      0.938      0.005      0.000      0.000     8.2
  4  1994      0.000      0.000      0.000      0.092      1.956      5.059      6.980      6.768      0.864      0.042      0.000      0.000     8.3
  4  1995      0.000      0.000      0.000      0.011      0.587      3.722      6.138      4.542      1.692      0.368      0.000      0.000     8.0
  4  1996      0.000      0.000      0.000      0.253      2.009      4.513      7.098      6.042      1.463      0.030      0.000      0.000     8.0
  4  1997      0.000      0.000      0.000      0.004      0.887      4.037      5.928      3.198      0.196      0.002      0.000      0.000     7.6
  4  1998      0.000      0.000      0.000      0.003      0.435      4.866      6.822      8.767      1.236      0.082      0.000      0.000     7.8
  4  1999      0.000      0.000      0.000      0.154      0.676      3.660      5.795      5.144      1.277      0.023      0.000      0.000     7.4
  4  2000      0.000      0.000      0.000      0.009      1.741      4.990      7.847      6.589      0.737      0.040      0.000      0.000     7.5
  4  2001      0.000      0.000      0.000      0.092      1.908      3.162      6.039      5.922      1.292      0.018      0.000      0.000     6.9
  4  2002      0.000      0.000      0.000      0.046      1.811      3.440      6.765      6.812      0.932      0.168      0.000      0.000     6.8
  4  2003      0.000      0.000      0.000      0.058      1.060      4.571      6.224      4.148      0.471      0.028      0.000      0.000     6.3
  4  2004      0.000      0.000      0.000      0.255      1.467      4.029      5.392      4.699      0.375      0.000      0.000      0.000     6.0
  4  2005      0.000      0.000      0.000      0.035      0.521      4.874      5.739      4.363      1.021      0.077      0.000      0.000     6.0
  4  2006      0.000      0.000      0.000      0.108      1.907      4.321      6.494      5.320      1.578      0.000      0.000      0.000     5.9
  4  2007      0.000      0.000      0.000      0.003      0.408      3.940      6.000      6.866      0.535      0.073      0.000      0.000     5.6
  4  2008      0.000      0.000      0.000      0.243      1.516      4.298      5.511      4.093      1.307      0.024      0.000      0.000     5.3
  4  2009      0.000      0.000      0.000      0.065      0.622      3.038      5.689      3.517      0.542      0.000      0.000      0.000     5.1
  4  2010      0.000      0.000      0.000      0.041      0.948      3.581      5.467      4.252      0.176      0.003      0.000      0.000     5.1
  4  2011      0.000      0.000      0.000      0.055      1.623      4.984      6.555      5.548      1.353      0.100      0.000      0.000     5.1
  4  2012      0.000      0.000      0.000      0.440      2.391      4.046      6.073      4.432      0.521      0.007      0.000      0.000     4.7
  4  2013      0.000      0.000      0.000      0.108      1.382      5.560      4.922      4.074      0.239      0.000      0.000      0.000     4.4
  4  2014      0.000      0.000      0.000      0.045      1.685      5.862      5.717      4.421      0.606      0.215      0.000      0.000     4.3
  4  2015      0.000      0.000      0.000      0.004      0.392      3.390      6.917      4.745      1.227      0.027      0.000      0.000     4.0
  4  2016      0.000      0.000      0.000      0.096      1.691      4.172      5.348      4.546      1.437      0.020      0.000      0.000     3.9
  4  2017      0.000      0.000      0.000      0.069      0.914      3.909      5.689      3.540      0.512      0.021      0.000      0.000     3.5
  4  2018      0.000      0.000      0.000      0.269      2.275      4.389      4.576      3.901      0.617      0.000      0.000      0.000     3.5
  4  2019      0.000      0.000      0.000      0.069      3.322      5.394      5.404      4.102      0.505      0.000      0.000      0.000     3.2
  4  2020      0.000      0.000      0.000      0.108      2.019      4.634      4.202      3.163      0.550      0.006      0.000      0.000     3.2
  4  2021      0.000      0.000      0.000      0.067      1.419      4.859      5.055      3.686      0.518      0.079      0.000      0.000     2.9
  4  2022      0.000      0.000      0.000      0.021      0.701      4.634      5.482      4.841      0.537      0.002      0.000      0.000     2.8
  4  2023      0.000      0.000      0.000      0.009      2.479      4.399      4.781      4.008      0.672      0.027      0.000      0.000     2.6
  4  2024      0.000      0.000      0.000      0.265      0.837      4.644      5.002      3.313      0.660      0.000      0.000      0.000     2.4
  4  2025      0.000      0.000      0.000      0.054      1.756      3.652      5.888      2.833      0.300      0.050      0.000      0.000     2.3
  4  2026      0.000      0.000      0.000      0.128      2.131      3.943      4.257      2.713      0.576      0.095      0.000      0.000     2.3
  4  2027      0.000      0.000      0.000      0.023      0.601      5.552      5.987      3.211      0.211      0.004      0.000      0.000     2.1
  4  2028      0.000      0.000      0.000      0.100      2.017      4.750      4.058      2.199      0.483      0.115      0.000      0.000     2.1
  4  2029      0.000      0.000      0.000      0.101      1.915      4.547      3.849      2.543      0.513      0.003      0.000      0.000     2.0
  4  2030      0.000      0.000      0.000      0.154      1.576      5.250      3.716      2.407      0.466      0.021      0.000      0.000     1.9
  4  2031      0.000      0.000      0.000      0.147      1.365      4.348      4.854      2.009      0.180      0.028      0.000      0.000     1.8
  4  2032      0.000      0.000      0.000      0.045      2.166      5.337      6.147      2.331      0.618      0.013      0.000      0.000     1.7
  4  2033      0.000      0.000      0.000      0.546      1.499      5.214      3.942      1.718      0.609      0.060      0.000      0.000     1.6
  4  2034      0.000      0.000      0.000      0.265      0.909      4.676      6.920      2.404      0.250      0.021      0.000      0.000     1.5
  4  2035      0.000      0.000      0.000      0.045      0.550      4.868      6.076      3.860      0.196      0.013      0.000      0.000     1.5
  4  2036      0.000      0.000      0.000      0.285      1.296      3.766      4.631      1.804      0.395      0.004      0.000      0.000     1.5
  4  2037      0.000      0.000      0.000      0.039      0.356      4.338      6.615      3.394      0.461      0.013      0.000      0.000     1.5
